serial number,area,main poligon,#pictures,A1,A1_status,A1_cleaned,A1_right,A1_left,A1_color,A1_pattern,A2,A2_status,A2_cleaned,A2_right,A2_left,A2_color,A2_pattern,B3,B3_status,B3_cleaned,B3_right,B3_left,B3_color,B3_pattern,B4,B4_status,B4_cleaned,B4_right,B4_left,B4_color,B4_pattern,B5,B5_status,B5_cleaned,B5_right,B5_left,B5_color,B5_pattern,C6,C6_status,C6_cleaned,C6_right,C6_left,C6_color,C6_pattern,C7,C7_status,C7_cleaned,C7_right,C7_left,C7_color,C7_pattern,D8,D8_status,D8_cleaned,D8_right,D8_left,D8_color,D8_pattern,D9,D9_status,D9_cleaned,D9_right,D9_left,D9_color,D9_pattern
Sn84,Snir,Snir,2,a1txg,unique,a1txg,,,g,a1tx,a1g,unique,a1g,,,g,a1,N,N,,,,,,N,N,,,,,,N,N,,,,,,b1h,unique,b1h,,,h,b1,c,unique,c,,,,,a4,partial_ambiguous,a4,,,4,,a2,unique,a2,,,,
Sn85,Snir,Snir,2,i,partial_ambiguous,i,,,i,,i,partial_ambiguous,i,,,i,,N,N,,,,,,P,P,,,,,,N,N,,,,,,b1g,unique,b1g,,,g,b1,c,unique,c,,,,,a4b1,unique,a4b1,,,4,1,a2,unique,a2,,,,
Ma87sn,"Snir,  masade",masade,4,a2tyf,unique,a2tyf,,,f,a2ty,a7f,unique,a7f,,,f,a7,a1b,unique,a1b,,,,,b1b,unique,b1b,,,,,a1b,unique,a1b,,,,,c1f,unique,c1f,,,f,c1,a1,unique,a1,,,,,a4b5,unique,a4b5,,,4,5,a4,unique,a4,,,,
Ma88,masade,masade,3,d1m,unique,d1m,,,m,d1,a3l,unique,a3l,,,l,a3,a3,partial_ambiguous,a3,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,c2h,unique,c2h,,,h,c2,c,unique,c,,,,,a7,partial_ambiguous,a7,,,7,,a2,unique,a2,,,,
In89,golan,,3,e,partial_ambiguous,e,,,e,,e,partial_ambiguous,e,,,e,,N,N,,,,,,b2a,unique,b2a,,,,,a2b,unique,a2b,,,,,a7f,unique,a7f,,,f,a7,b2,unique,b2,,,,,N,N,,,,,,N,N,,,,,
Mg90,marom golan,,2,c1yi,unique,c1yi,,,i,c1y,a5i,unique,a5i,,,i,a5,a2b,unique,a2b,,,,,c3b,unique,c3b,,,,,c3b,unique,c3b,,,,,a3f,unique,a3f,,,f,a3,a1,unique,a1,,,,,a4,partial_ambiguous,a4,,,4,,N,N,,,,,
In91,golan,,2,e,partial_ambiguous,e,,,e,,e,partial_ambiguous,e,,,e,,N,N,,,,,,N,N,,,,,,N,N,,,,,,a4e,unique,a4e,,,e,a4,a1,unique,a1,,,,,a7,partial_ambiguous,a7,,,7,,a4,unique,a4,,,,
In92,golan,,1,a2ze,unique,a2ze,,,e,a2z,e,partial_ambiguous,e,,,e,,a2a,unique,a2a,,,,,b1b,unique,b1b,,,,,a2b,unique,a2b,,,,,c1f,unique,c1f,,,f,c1,P,P,,,,,,N,N,,,,,,N,N,,,,,
In93,golan,,1,d1m,unique,d1m,,,m,d1,a3e,unique,a3e,,,e,a3,a2b,unique,a2b,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,c1f,unique,c1f,,,f,c1,P,P,,,,,,N,N,,,,,,N,N,,,,,
In94,golan,,1,e,partial_ambiguous,e,,,e,,e,partial_ambiguous,e,,,e,,N,N,,,,,,N,N,,,,,,N,N,,,,,,c1e,unique,c1e,,,e,c1,b1,unique,b1,,,,,a1,partial_ambiguous,a1,,,1,,a3,unique,a3,,,,
In95,golan,,1,b1l,unique,b1l,,,l,b1,a2e,unique,a2e,,,e,a2,N,N,,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,b1j,unique,b1j,,,j,b1,c,unique,c,,,,,a2,partial_ambiguous,a2,,,2,,a3,unique,a3,,,,
In96,golan,,2,a2wyg,unique,a2wyg,,,g,a2wy,a4g,unique,a4g,,,g,a4,a3b,unique,a3b,,,,,c1b,unique,c1b,,,,,c1b,unique,c1b,,,,,dl,unique,dl,,,l,d,c,unique,c,,,,,a7b5,unique,a7b5,,,7,5,a2,unique,a2,,,,
In97,golan,,2,a2wyi,unique,a2wyi,,,i,a2wy,i,partial_ambiguous,i,,,i,,N,N,,,,,,N,N,,,,,,N,N,,,,,,i,partial_ambiguous,i,,,i,,N,N,,,,,,a4,partial_ambiguous,a4,,,4,,N,N,,,,,
In98,golan,,2,c1zi,unique,c1zi,,,i,c1z,a5i,unique,a5i,,,i,a5,a2b,unique,a2b,,,,,c2b,unique,c2b,,,,,c2b,unique,c2b,,,,,c1g,unique,c1g,,,g,c1,c,unique,c,,,,,a7,partial_ambiguous,a7,,,7,,a2,unique,a2,,,,
